country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
TW,Taiwan,0,0,2020-03-09,-9.0,1.0,-3.0,-14.0,10.0,2.0
TW,Taiwan,0,0,2020-03-10,-18.0,-4.0,-29.0,-18.0,11.0,4.0
TW,Taiwan,0,0,2020-03-11,-9.0,1.0,-4.0,-12.0,14.0,1.0
TW,Taiwan,0,0,2020-03-12,-10.0,-4.0,-15.0,-15.0,12.0,-2.0
TW,Taiwan,0,0,2020-03-13,-13.0,-4.0,-21.0,-12.0,9.0,3.0
TW,Taiwan,0,0,2020-03-14,-14.0,-1.0,-28.0,-25.0,6.0,6.0
TW,Taiwan,0,0,2020-03-15,-2.0,7.0,31.0,-13.0,1.0,2.0
TW,Taiwan,0,0,2020-03-16,-7.0,3.0,0.0,-13.0,10.0,2.0
TW,Taiwan,0,0,2020-03-17,-10.0,2.0,-3.0,-15.0,14.0,2.0
TW,Taiwan,0,0,2020-03-18,-15.0,2.0,-11.0,-15.0,13.0,2.0
TW,Taiwan,0,0,2020-03-19,-18.0,6.0,-29.0,-21.0,11.0,0.0
TW,Taiwan,0,0,2020-03-20,-8.0,12.0,-5.0,-12.0,9.0,2.0
TW,Taiwan,0,0,2020-03-21,-10.0,8.0,4.0,-23.0,9.0,3.0
TW,Taiwan,0,0,2020-03-22,-8.0,6.0,24.0,-22.0,0.0,3.0
TW,Taiwan,0,0,2020-03-23,-12.0,4.0,-9.0,-19.0,8.0,3.0
TW,Taiwan,0,0,2020-03-24,-13.0,3.0,-5.0,-19.0,12.0,3.0
TW,Taiwan,0,0,2020-03-25,-14.0,2.0,0.0,-17.0,12.0,2.0
TW,Taiwan,0,0,2020-03-26,-13.0,0.0,-10.0,-20.0,10.0,-1.0
TW,Taiwan,0,0,2020-03-27,-13.0,0.0,-11.0,-17.0,7.0,3.0
TW,Taiwan,0,0,2020-03-28,-21.0,-6.0,-33.0,-34.0,3.0,7.0
TW,Taiwan,0,0,2020-03-29,-9.0,3.0,17.0,-24.0,-1.0,4.0
TW,Taiwan,0,0,2020-03-30,-14.0,-2.0,-13.0,-20.0,6.0,4.0
TW,Taiwan,0,0,2020-03-31,-11.0,1.0,-6.0,-17.0,9.0,3.0
TW,Taiwan,0,0,2020-04-01,-10.0,2.0,-10.0,-6.0,7.0,1.0
TW,Taiwan,0,0,2020-04-02,-1.0,8.0,10.0,-26.0,-50.0,11.0
TW,Taiwan,0,0,2020-04-03,-1.0,10.0,40.0,-31.0,-55.0,16.0
TW,Taiwan,0,0,2020-04-04,-24.0,-6.0,-7.0,-33.0,-23.0,7.0
TW,Taiwan,0,0,2020-04-05,-22.0,-7.0,-12.0,-28.0,-9.0,6.0
TW,Taiwan,0,0,2020-04-06,-20.0,-3.0,-28.0,-21.0,3.0,5.0
TW,Taiwan,0,0,2020-04-07,-15.0,5.0,-18.0,-22.0,7.0,4.0
TW,Taiwan,0,0,2020-04-08,-16.0,-1.0,-8.0,-21.0,8.0,3.0
TW,Taiwan,0,0,2020-04-09,-13.0,2.0,-12.0,-23.0,7.0,0.0
TW,Taiwan,0,0,2020-04-10,-8.0,7.0,-1.0,-17.0,4.0,3.0
TW,Taiwan,0,0,2020-04-11,-18.0,0.0,-20.0,-32.0,4.0,6.0
TW,Taiwan,0,0,2020-04-12,-14.0,1.0,-10.0,-33.0,-5.0,7.0
TW,Taiwan,0,0,2020-04-13,-11.0,3.0,-6.0,-21.0,5.0,4.0
TW,Taiwan,0,0,2020-04-14,-11.0,3.0,-1.0,-20.0,8.0,3.0
TW,Taiwan,0,0,2020-04-15,-13.0,1.0,1.0,-18.0,8.0,3.0
TW,Taiwan,0,0,2020-04-16,-11.0,-1.0,-5.0,-20.0,7.0,0.0
TW,Taiwan,0,0,2020-04-17,-8.0,2.0,2.0,-15.0,3.0,3.0
TW,Taiwan,0,0,2020-04-18,-11.0,2.0,5.0,-24.0,5.0,4.0
TW,Taiwan,0,0,2020-04-19,-10.0,1.0,19.0,-25.0,-4.0,4.0
TW,Taiwan,0,0,2020-04-20,-14.0,3.0,-6.0,-21.0,5.0,3.0
TW,Taiwan,0,0,2020-04-21,-18.0,-1.0,-12.0,-23.0,8.0,4.0
TW,Taiwan,0,0,2020-04-22,-19.0,-1.0,-16.0,-23.0,8.0,4.0
TW,Taiwan,0,0,2020-04-23,-21.0,-5.0,-32.0,-26.0,6.0,1.0
TW,Taiwan,0,0,2020-04-24,-17.0,1.0,-24.0,-21.0,3.0,5.0
TW,Taiwan,0,0,2020-04-25,-15.0,2.0,-9.0,-31.0,4.0,5.0
TW,Taiwan,0,0,2020-04-26,-14.0,-1.0,4.0,-31.0,-5.0,6.0
TW,Taiwan,0,0,2020-04-27,-15.0,0.0,-10.0,-22.0,5.0,4.0
TW,Taiwan,0,0,2020-04-28,-13.0,2.0,0.0,-20.0,9.0,2.0
TW,Taiwan,0,0,2020-04-29,-14.0,-1.0,3.0,-18.0,8.0,0.0
TW,Taiwan,0,0,2020-04-30,-8.0,5.0,-4.0,-15.0,6.0,-2.0
TW,Taiwan,0,0,2020-05-01,3.0,15.0,39.0,-16.0,-36.0,9.0
TW,Taiwan,0,0,2020-05-02,-10.0,4.0,13.0,-25.0,-5.0,4.0
TW,Taiwan,0,0,2020-05-03,-9.0,2.0,18.0,-21.0,-6.0,2.0
TW,Taiwan,0,0,2020-05-04,-12.0,4.0,-6.0,-19.0,5.0,3.0
TW,Taiwan,0,0,2020-05-05,-11.0,8.0,-3.0,-19.0,9.0,2.0
TW,Taiwan,0,0,2020-05-06,-14.0,4.0,-7.0,-17.0,9.0,2.0
TW,Taiwan,0,0,2020-05-07,-10.0,3.0,-13.0,-18.0,7.0,-1.0
TW,Taiwan,0,0,2020-05-08,-5.0,9.0,-3.0,-9.0,4.0,2.0
TW,Taiwan,0,0,2020-05-09,-5.0,9.0,-4.0,-20.0,2.0,2.0
TW,Taiwan,0,0,2020-05-10,-5.0,6.0,-1.0,-19.0,-8.0,1.0
TW,Taiwan,0,0,2020-05-11,-10.0,9.0,-10.0,-17.0,5.0,3.0
TW,Taiwan,0,0,2020-05-12,-15.0,3.0,-14.0,-19.0,8.0,3.0
TW,Taiwan,0,0,2020-05-13,-11.0,4.0,1.0,-15.0,9.0,2.0
TW,Taiwan,0,0,2020-05-14,-10.0,0.0,-9.0,-18.0,7.0,-2.0
TW,Taiwan,0,0,2020-05-15,-5.0,6.0,0.0,-11.0,2.0,1.0
TW,Taiwan,0,0,2020-05-16,-12.0,1.0,-14.0,-25.0,1.0,4.0
