country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
RW,Rwanda,0,0,2020-03-14,5.0,10.0,7.0,17.0,11.0,-1.0
RW,Rwanda,0,0,2020-03-15,-13.0,-1.0,-7.0,-8.0,1.0,6.0
RW,Rwanda,0,0,2020-03-16,-11.0,0.0,9.0,-2.0,-14.0,7.0
RW,Rwanda,0,0,2020-03-17,-19.0,-12.0,4.0,-13.0,-21.0,9.0
RW,Rwanda,0,0,2020-03-18,-19.0,-14.0,-2.0,-15.0,-24.0,8.0
RW,Rwanda,0,0,2020-03-19,-23.0,-14.0,-1.0,-13.0,-24.0,10.0
RW,Rwanda,0,0,2020-03-20,-25.0,-18.0,1.0,-22.0,-24.0,10.0
RW,Rwanda,0,0,2020-03-21,-25.0,-13.0,-3.0,-27.0,-8.0,8.0
RW,Rwanda,0,0,2020-03-22,-46.0,-31.0,-15.0,-60.0,-24.0,16.0
RW,Rwanda,0,0,2020-03-23,-52.0,-45.0,-1.0,-68.0,-58.0,26.0
RW,Rwanda,0,0,2020-03-24,-58.0,-56.0,-4.0,-71.0,-63.0,29.0
RW,Rwanda,0,0,2020-03-25,-57.0,-57.0,-12.0,-72.0,-64.0,28.0
RW,Rwanda,0,0,2020-03-26,-60.0,-58.0,-16.0,-73.0,-63.0,29.0
RW,Rwanda,0,0,2020-03-27,-62.0,-61.0,-11.0,-76.0,-62.0,34.0
RW,Rwanda,0,0,2020-03-28,-58.0,-55.0,-12.0,-73.0,-43.0,22.0
RW,Rwanda,0,0,2020-03-29,-56.0,-57.0,-18.0,-75.0,-31.0,22.0
RW,Rwanda,0,0,2020-03-30,-57.0,-53.0,-7.0,-75.0,-61.0,29.0
RW,Rwanda,0,0,2020-03-31,-58.0,-57.0,-6.0,-73.0,-61.0,29.0
RW,Rwanda,0,0,2020-04-01,-60.0,-56.0,-7.0,-71.0,-60.0,27.0
RW,Rwanda,0,0,2020-04-02,-60.0,-55.0,-14.0,-71.0,-60.0,29.0
RW,Rwanda,0,0,2020-04-03,-62.0,-58.0,-11.0,-75.0,-59.0,32.0
RW,Rwanda,0,0,2020-04-04,-58.0,-54.0,-13.0,-72.0,-37.0,22.0
RW,Rwanda,0,0,2020-04-05,-60.0,-54.0,-18.0,-75.0,-26.0,21.0
RW,Rwanda,0,0,2020-04-06,-58.0,-54.0,-2.0,-73.0,-58.0,30.0
RW,Rwanda,0,0,2020-04-07,-71.0,-76.0,-9.0,-80.0,-73.0,36.0
RW,Rwanda,0,0,2020-04-08,-59.0,-54.0,-11.0,-73.0,-59.0,28.0
RW,Rwanda,0,0,2020-04-09,-63.0,-60.0,-14.0,-73.0,-60.0,32.0
RW,Rwanda,0,0,2020-04-10,-67.0,-64.0,-13.0,-77.0,-65.0,38.0
RW,Rwanda,0,0,2020-04-11,-62.0,-56.0,-14.0,-72.0,-37.0,25.0
RW,Rwanda,0,0,2020-04-12,-62.0,-59.0,-21.0,-77.0,-27.0,24.0
RW,Rwanda,0,0,2020-04-13,-67.0,-69.0,-12.0,-78.0,-68.0,37.0
RW,Rwanda,0,0,2020-04-14,-61.0,-58.0,-16.0,-74.0,-58.0,31.0
RW,Rwanda,0,0,2020-04-15,-59.0,-56.0,-20.0,-73.0,-57.0,29.0
RW,Rwanda,0,0,2020-04-16,-61.0,-59.0,-15.0,-74.0,-58.0,30.0
RW,Rwanda,0,0,2020-04-17,-64.0,-62.0,-17.0,-76.0,-58.0,32.0
RW,Rwanda,0,0,2020-04-18,-63.0,-61.0,-25.0,-73.0,-37.0,25.0
RW,Rwanda,0,0,2020-04-19,-61.0,-60.0,-28.0,-76.0,-25.0,24.0
RW,Rwanda,0,0,2020-04-20,-61.0,-58.0,-19.0,-72.0,-58.0,32.0
RW,Rwanda,0,0,2020-04-21,-62.0,-60.0,-15.0,-73.0,-57.0,30.0
RW,Rwanda,0,0,2020-04-22,-64.0,-62.0,-20.0,-72.0,-59.0,30.0
RW,Rwanda,0,0,2020-04-23,-65.0,-62.0,-22.0,-73.0,-58.0,32.0
RW,Rwanda,0,0,2020-04-24,-65.0,-61.0,-13.0,-74.0,-56.0,34.0
RW,Rwanda,0,0,2020-04-25,-64.0,-60.0,-18.0,-72.0,-35.0,25.0
RW,Rwanda,0,0,2020-04-26,-63.0,-60.0,-24.0,-75.0,-22.0,24.0
RW,Rwanda,0,0,2020-04-27,-64.0,-61.0,-15.0,-73.0,-56.0,32.0
RW,Rwanda,0,0,2020-04-28,-61.0,-58.0,-10.0,-71.0,-56.0,28.0
RW,Rwanda,0,0,2020-04-29,-63.0,-60.0,-20.0,-71.0,-57.0,30.0
RW,Rwanda,0,0,2020-04-30,-62.0,-58.0,-17.0,-69.0,-55.0,30.0
RW,Rwanda,0,0,2020-05-01,-65.0,-63.0,-18.0,-74.0,-61.0,33.0
RW,Rwanda,0,0,2020-05-02,-64.0,-59.0,-22.0,-71.0,-32.0,25.0
RW,Rwanda,0,0,2020-05-03,-62.0,-56.0,-23.0,-75.0,-19.0,23.0
RW,Rwanda,0,0,2020-05-04,-35.0,-21.0,-6.0,-43.0,-36.0,18.0
RW,Rwanda,0,0,2020-05-05,-36.0,-25.0,-3.0,-40.0,-35.0,16.0
RW,Rwanda,0,0,2020-05-06,-33.0,-23.0,-10.0,-39.0,-35.0,16.0
RW,Rwanda,0,0,2020-05-07,-36.0,-27.0,-15.0,-35.0,-34.0,17.0
RW,Rwanda,0,0,2020-05-08,-37.0,-28.0,-12.0,-42.0,-32.0,18.0
RW,Rwanda,0,0,2020-05-09,-34.0,-22.0,-11.0,-40.0,-10.0,12.0
RW,Rwanda,0,0,2020-05-10,-42.0,-29.0,-17.0,-51.0,-9.0,14.0
RW,Rwanda,0,0,2020-05-11,-33.0,-23.0,-10.0,-37.0,-30.0,16.0
RW,Rwanda,0,0,2020-05-12,-34.0,-24.0,-10.0,-37.0,-31.0,17.0
RW,Rwanda,0,0,2020-05-13,-32.0,-24.0,-8.0,-35.0,-30.0,13.0
RW,Rwanda,0,0,2020-05-14,-34.0,-27.0,-8.0,-34.0,-29.0,13.0
RW,Rwanda,0,0,2020-05-15,-36.0,-28.0,-5.0,-40.0,-29.0,16.0
RW,Rwanda,0,0,2020-05-16,-33.0,-21.0,-10.0,-37.0,-7.0,10.0
